Step,# citizen coalition,# regulator coalition,# stakeholder coalition,Disruption,NGO Message,Num Cit,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
0,14.0,0.0,0.0,0.5,4.5,182.0,5.0,1282.7589781005001,6424.479229904404,0.0,0.0,0.0,132177.88424974083
1,8.0,0.0,1.0,0.5,4.5,182.0,5.0,1291.8358046405003,6717.954007179174,0.0,0.0,325.0,135188.08015114826
2,9.0,0.0,1.0,0.5,4.5,182.0,5.0,1309.9671480975005,7015.588045789495,0.0,0.0,325.0,140899.32395166933
3,5.0,0.0,1.0,0.5,4.5,182.0,5.0,1323.9013613160007,7334.063340121491,0.0,0.0,325.0,145071.1947599383
4,6.0,0.0,1.0,0.5,4.5,182.0,5.0,1346.695438816001,7651.616527211342,0.0,0.0,325.0,152543.9399220969
5,5.0,0.0,1.0,0.5,4.5,182.0,5.0,1375.0964447195008,7993.103156325265,0.0,0.0,325.0,161708.0473388539
6,2.0,0.0,1.0,0.5,4.5,182.0,5.0,1388.9682189925009,8360.066279542074,0.0,0.0,325.0,166220.23847982122
7,1.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,8735.285552931762,0.0,0.0,325.0,168824.4667526247
8,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,9133.513023784393,0.0,0.0,325.0,168824.4667526247
9,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,9561.016876686133,0.0,0.0,325.0,168824.4667526247
10,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,9996.329488975876,0.0,0.0,325.0,168824.4667526247
11,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,10471.734490410343,0.0,0.0,325.0,168824.4667526247
12,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,10965.071115811994,0.0,0.0,325.0,168824.4667526247
13,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,11501.072890623082,0.0,0.0,325.0,168824.4667526247
14,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,12048.2325591132,0.0,0.0,325.0,168824.4667526247
15,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,12597.5879203743,106.5,106.5,325.0,168824.4667526247
16,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,13211.001603246938,106.5,106.5,325.0,168824.4667526247
17,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,13821.44612161899,106.5,106.5,325.0,168824.4667526247
18,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,14476.677159211946,106.5,106.5,325.0,168824.4667526247
19,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,15181.282912242497,106.5,106.5,325.0,168824.4667526247
20,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,15927.923208575894,106.5,106.5,325.0,168824.4667526247
21,0.0,1.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,16724.945254541195,106.4999999980129,106.5,325.0,168824.4667526247
22,0.0,1.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,17519.483123743852,94.28571428336221,106.5,325.0,168824.4667526247
23,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,18358.524022746496,94.28571428336221,106.5,325.0,168824.4667526247
24,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,19266.370257256716,94.28571428336221,106.5,325.0,168824.4667526247
25,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129930004,20226.165195768404,94.28571428336221,106.5,325.0,168824.4667526247
0,14.0,0.0,0.0,0.1,4.5,182.0,5.0,1282.7618545625,6281.570502978073,0.0,0.0,0.0,132132.64120864196
1,8.0,0.0,1.0,0.1,4.5,182.0,5.0,1291.8358046405,6541.427593778228,0.0,0.0,325.0,135036.43270469806
2,9.0,0.0,1.0,0.1,4.5,182.0,5.0,1309.9975104485,6835.601412972777,0.0,0.0,325.0,140858.8543381608
3,5.0,0.0,1.0,0.1,4.5,182.0,5.0,1323.4301308230001,7138.400989608969,0.0,0.0,325.0,145204.4305811192
4,5.0,0.0,1.0,0.1,4.5,182.0,5.0,1341.3146473305005,7448.9943067814165,0.0,0.0,325.0,151168.10822482585
5,5.0,0.0,1.0,0.1,4.5,182.0,5.0,1368.3334959125004,7777.950762271158,0.0,0.0,325.0,159728.84711434005
6,3.0,0.0,1.0,0.1,4.5,182.0,5.0,1396.7904464055005,8121.031724479578,0.0,0.0,325.0,169336.71389911778
7,1.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,8491.632494320858,0.0,0.0,325.0,172298.55731279857
8,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,8863.171335440527,0.0,0.0,325.0,172298.55731279857
9,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,9297.60587058258,0.0,0.0,325.0,172298.55731279857
10,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,9724.408583825281,0.0,0.0,325.0,172298.55731279857
11,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,10190.161421715924,0.0,0.0,325.0,172298.55731279857
12,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,10660.822601824799,0.0,0.0,325.0,172298.55731279857
13,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,11160.27636111128,0.0,0.0,325.0,172298.55731279857
14,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,11670.146300260236,0.0,0.0,325.0,172298.55731279857
15,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,12205.615475264163,106.5,106.5,325.0,172298.55731279857
16,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,12779.520140191105,106.5,106.5,325.0,172298.55731279857
17,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,13407.819089666187,106.5,106.5,325.0,172298.55731279857
18,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,14024.943551654378,106.5,106.5,325.0,172298.55731279857
19,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,14675.55877828416,106.5,106.5,325.0,172298.55731279857
20,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,15322.820795027163,106.5,106.5,325.0,172298.55731279857
21,0.0,1.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,16004.892545854944,106.49999999805324,106.5,325.0,172298.55731279857
22,0.0,1.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,16792.623220336947,94.28571428340996,106.5,325.0,172298.55731279857
23,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,17613.895797538233,94.28571428340996,106.5,325.0,172298.55731279857
24,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,18462.76388458089,94.28571428340996,106.5,325.0,172298.55731279857
25,0.0,0.0,1.0,0.1,4.5,182.0,5.0,1405.968940406,19307.793405536628,94.28571428340996,106.5,325.0,172298.55731279857
0,14.0,0.0,0.0,0.2,4.5,182.0,5.0,1282.7618636484997,6250.333292667899,0.0,0.0,0.0,132304.28242163148
1,8.0,0.0,1.0,0.2,4.5,182.0,5.0,1291.8477925149994,6543.167345028532,0.0,0.0,325.0,135029.3855719879
2,9.0,0.0,1.0,0.2,4.5,182.0,5.0,1309.9671480974998,6837.685322155806,0.0,0.0,325.0,140870.95645256693
3,5.0,0.0,1.0,0.2,4.5,182.0,5.0,1323.430130823,7131.393487413856,0.0,0.0,325.0,145162.98808212118
4,6.0,0.0,1.0,0.2,4.5,182.0,5.0,1346.9670646445,7455.002440951633,0.0,0.0,325.0,152818.7253251403
5,5.0,0.0,1.0,0.2,4.5,182.0,5.0,1375.6888869074999,7768.7503117774495,0.0,0.0,325.0,161746.73265193115
6,2.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,8132.391747436712,0.0,0.0,325.0,165553.53988316114
7,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,8506.349036742042,0.0,0.0,325.0,165553.53988316114
8,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,8901.031166609657,0.0,0.0,325.0,165553.53988316114
9,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,9307.933540068292,0.0,0.0,325.0,165553.53988316114
10,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,9758.564071162316,0.0,0.0,325.0,165553.53988316114
11,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,10198.41661200183,0.0,0.0,325.0,165553.53988316114
12,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,10660.158822725474,0.0,0.0,325.0,165553.53988316114
13,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,11195.235599375603,0.0,0.0,325.0,165553.53988316114
14,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,11738.130262922545,0.0,0.0,325.0,165553.53988316114
15,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,12303.639502986895,106.5,106.5,325.0,165553.53988316114
16,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,12884.588497554885,106.5,106.5,325.0,165553.53988316114
17,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,13482.17344795022,106.5,106.5,325.0,165553.53988316114
18,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,14128.90431677217,106.5,106.5,325.0,165553.53988316114
19,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,14775.726982608881,106.5,106.5,325.0,165553.53988316114
20,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,15509.755020369663,106.5,106.5,325.0,165553.53988316114
21,0.0,1.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,16233.940731532564,106.49999999796857,106.5,325.0,165553.53988316114
22,0.0,1.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,16981.778325291125,94.28571428330974,106.5,325.0,165553.53988316114
23,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,17787.747676529027,94.28571428330974,106.5,325.0,165553.53988316114
24,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,18620.15059416011,94.28571428330974,106.5,325.0,165553.53988316114
25,0.0,0.0,1.0,0.2,4.5,182.0,5.0,1389.9090258949993,19474.914049129187,94.28571428330974,106.5,325.0,165553.53988316114
0,14.0,0.0,0.0,0.5,4.5,182.0,5.0,1282.8166715010002,6338.650031715005,0.0,0.0,0.0,132307.10222910476
1,8.0,0.0,1.0,0.5,4.5,182.0,5.0,1291.9836424049997,6609.890012501434,0.0,0.0,325.0,135194.5663328051
2,9.0,0.0,1.0,0.5,4.5,182.0,5.0,1309.9975104484997,6909.849282917927,0.0,0.0,325.0,140934.39743710725
3,7.0,0.0,1.0,0.5,4.5,182.0,5.0,1331.8816204849993,7220.196960975989,0.0,0.0,325.0,147556.694719953
4,5.0,0.0,1.0,0.5,4.5,182.0,5.0,1353.9977466909997,7546.383717606766,0.0,0.0,325.0,154625.53087468178
5,4.0,0.0,1.0,0.5,4.5,182.0,5.0,1375.0964447194997,7886.284489898002,0.0,0.0,325.0,161419.854404584
6,2.0,0.0,1.0,0.5,4.5,182.0,5.0,1388.9682189924995,8252.712494165244,0.0,0.0,325.0,165743.96912024682
7,1.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,8634.643106227912,0.0,0.0,325.0,168921.19853985717
8,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,9033.390468733684,0.0,0.0,325.0,168921.19853985717
9,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,9431.336111408886,0.0,0.0,325.0,168921.19853985717
10,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,9860.798967547535,0.0,0.0,325.0,168921.19853985717
11,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,10336.326728141597,0.0,0.0,325.0,168921.19853985717
12,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,10793.017147452456,0.0,0.0,325.0,168921.19853985717
13,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,11304.7746089502,0.0,0.0,325.0,168921.19853985717
14,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,11840.517679333427,0.0,0.0,325.0,168921.19853985717
15,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,12401.479507970365,106.5,106.5,325.0,168921.19853985717
16,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,12998.426375322722,106.5,106.5,325.0,168921.19853985717
17,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,13577.000892902297,106.5,106.5,325.0,168921.19853985717
18,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,14227.671435161996,106.5,106.5,325.0,168921.19853985717
19,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,14882.76329078335,106.5,106.5,325.0,168921.19853985717
20,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,15565.326954596272,106.5,106.5,325.0,168921.19853985717
21,0.0,1.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,16320.127427182804,106.49999999801304,106.5,325.0,168921.19853985717
22,0.0,1.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,17114.363596634994,94.28571428336238,106.5,325.0,168921.19853985717
23,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,17919.005591591515,94.28571428336238,106.5,325.0,168921.19853985717
24,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,18786.419471419602,94.28571428336238,106.5,325.0,168921.19853985717
25,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929993,19657.322992449244,94.28571428336238,106.5,325.0,168921.19853985717
0,14.0,0.0,0.0,0.75,4.5,182.0,5.0,1282.8502354909997,6352.231387292185,0.0,0.0,0.0,132259.53655476376
