id,lat,lon,,block_#,tract,population,Population_Density,Area,,,,,Income,,,,,,,,,,,,,,,,,,,,,,Bachelor's,,,,college , degree, income,power
410019501001,+44.5468040,-118.1781784,,Block Group 1,950100,911,1.098718,829.1481,,,,,33705,,,,,,,,,,,,,,,,,,,,,,77,,,,0.084522503,0.001074227,0.148698311,0.000159736
410019501002,+44.9562277,-118.0519082,,Block Group 2,950100,794,10.67232,74.39807,,,,,39091,,,,,,,,,,,,,,,,,,,,,,93,,,,0.117128463,0.001488628,0.17246004,0.000256729
410019501003,+44.8443756,-118.0396603,,Block Group 3,950100,1112,6.096809,182.3905,,,,,61389,,,,,,,,,,,,,,,,,,,,,,290,,,,0.260791367,0.003314491,0.270833425,0.000897675
410019502001,+44.7764594,-117.8821056,,Block Group 1,950200,1182,208.3956,5.671905,,,,,82679,,,,,,,,,,,,,,,,,,,,,,302,,,,0.255499154,0.003247231,0.364759758,0.001184459
410019502002,+44.7753666,-117.8349670,,Block Group 2,950200,1123,2881.208,0.3897671,,,,,39861,,,,,,,,,,,,,,,,,,,,,,157,,,,0.139804096,0.001776821,0.175857094,0.000312466
410019502003,+44.7868775,-117.8608492,,Block Group 3,950200,1130,679.9257,1.661946,,,,,38879,,,,,,,,,,,,,,,,,,,,,,202,,,,0.178761062,0.002271939,0.171524748,0.000389694
410019503001,+44.7504470,-117.8742634,,Block Group 1,950300,1110,125.7351,8.828084,,,,,44712,,,,,,,,,,,,,,,,,,,,,,105,,,,0.094594595,0.001202237,0.197258533,0.000237151
410019503002,+44.6787169,-117.6616761,,Block Group 2,950300,889,2.479071,358.6021,,,,,30912,,,,,,,,,,,,,,,,,,,,,,104,,,,0.116985377,0.001486809,0.13637627,0.000202765
410019503003,+44.4345000,-117.4547032,,Block Group 3,950300,430,1.391884,308.9338,,,,,44688,,,,,,,,,,,,,,,,,,,,,,24,,,,0.055813953,0.00070936,0.197152651,0.000139852
410019504001,+44.7928832,-117.8139019,,Block Group 1,950400,1553,925.6852,1.677676,,,,,49810,,,,,,,,,,,,,,,,,,,,,,368,,,,0.236960721,0.003011619,0.219749677,0.000661802
410019504002,+44.7793660,-117.8219730,,Block Group 2,950400,447,2042.235,0.2188779,,,,,37143,,,,,,,,,,,,,,,,,,,,,,47,,,,0.105145414,0.001336331,0.163865935,0.000218979
410019504003,+44.7751507,-117.8221774,,Block Group 3,950400,698,3843.995,0.1815819,,,,,37250,,,,,,,,,,,,,,,,,,,,,,78,,,,0.111747851,0.001420244,0.164337994,0.0002334
410019505001,+44.9044089,-117.7863816,,Block Group 1,950500,1729,8.961752,192.931,,,,,51625,,,,,,,,,,,,,,,,,,,,,,402,,,,0.232504338,0.002954981,0.227757018,0.000673018
410019505002,+44.7889311,-117.8460609,,Block Group 2,950500,912,1752.888,0.5202842,,,,,41250,,,,,,,,,,,,,,,,,,,,,,47,,,,0.051535088,0.000654978,0.181985026,0.000119196
410019506001,+44.9622004,-117.0595503,,Block Group 1,950600,464,1.274163,364.1606,,,,,49792,,,,,,,,,,,,,,,,,,,,,,153,,,,0.329741379,0.004190802,0.219670265,0.000920595
