Step,# citizen coalition,# regulator coalition,# stakeholder coalition,Disruption,NGO Message,Num Cit,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
0,15.0,0.0,0.0,1.0,4.5,200.0,25.0,3145.9679527005,5936.462750050219,0.0,0.0,0.0,320574.27923471044
1,11.0,0.0,1.0,1.0,4.5,200.0,25.0,3181.6627295465005,6247.49051084658,0.0,0.0,325.0,332103.0961664414
2,5.0,0.0,1.0,1.0,4.5,200.0,25.0,3203.4459919190003,6557.977486869674,0.0,0.0,325.0,338992.74072520563
3,4.0,0.0,1.0,1.0,4.5,200.0,25.0,3217.791026352001,6893.218102838329,0.0,0.0,325.0,343770.06834089354
4,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3222.8091978595007,7248.406694524616,0.0,0.0,325.0,345507.9487541261
5,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3228.791631295501,7649.780833558949,0.0,0.0,325.0,347560.8696103149
6,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3235.8017772610006,8042.022134560148,0.0,0.0,325.0,349863.8682548826
7,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3245.3998608780003,8452.246847477143,0.0,0.0,325.0,352840.19206372264
8,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3260.118170705,8903.457079881588,0.0,0.0,325.0,357648.33144487446
9,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3262.0287799899997,9378.41676544847,0.0,0.0,325.0,358295.7709094439
10,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3265.997035072,9862.299317249051,0.0,0.0,325.0,359531.76459232275
11,3.0,0.0,1.0,1.0,4.5,200.0,25.0,3275.6181921090006,10363.936173331036,0.0,0.0,325.0,362343.51584632415
12,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3282.427627423,10917.32845991868,0.0,0.0,325.0,364642.9217903021
13,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3290.1324560955,11469.985944409871,0.0,0.0,325.0,367139.75640711864
14,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3299.4787789125003,12062.240848302292,0.0,0.0,325.0,370274.1193212907
15,3.0,0.0,1.0,1.0,4.5,200.0,25.0,3316.0623721525003,12642.111860522164,106.5,106.5,325.0,375753.057023153
16,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3330.973001641,13289.447236513286,106.5,106.5,325.0,380330.7636525264
17,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3348.594558505499,13961.688830389354,106.5,106.5,325.0,385897.35081652185
18,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3367.6330447189994,14703.509413414231,106.5,106.5,325.0,391799.2360435768
19,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3390.463439113499,15458.135587548113,106.5,106.5,325.0,399030.6136122518
20,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,16252.405084081547,106.5,106.5,325.0,405215.8885819949
21,2.0,1.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,17078.00859744257,106.49999999906203,106.5,325.0,405215.8885819949
22,2.0,1.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,17925.066873862277,94.28571428460404,106.5,325.0,405215.8885819949
23,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,18902.8409254192,94.28571428460404,106.5,325.0,405215.8885819949
24,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,19873.506676677065,94.28571428460404,106.5,325.0,405215.8885819949
25,2.0,0.0,1.0,1.0,4.5,200.0,25.0,3408.862231666499,20913.396021949844,94.28571428460404,106.5,325.0,405215.8885819949
