Step,AgentID,Stakeholder preference
2,3d31ec14-08cd-48aa-9037-fa0479a141a7,14.0
2,9447168c-fdac-496a-8f36-4435bba4b4a7,18.0
2,7f8b75ab-0c81-4dfc-9d0c-fe78f760d1e5,18.0
2,c1e7bb28-15a4-481a-932f-22e44932b87a,18.0
2,f7e25628-6e81-4e34-ab01-3fe7c9618689,16.5
2,f9348b5b-2093-4d92-81a2-2ec56863e907,17.0
2,4f83f981-bb3a-4e39-94f9-30291fbd26cc,18.0
2,3de51eb0-2dea-449c-9439-d027051ee74f,17.0
2,1279a502-19e2-4846-b970-9e89f9b4a591,19.0
2,cd47ca1b-f482-45e9-8950-81d5d9175e79,6.5
2,1b5d3de3-8cd4-4d5c-b8c0-4f9dea4a154d,28.0
2,20cc7f14-dc4a-4b09-8960-089ef141b273,33.0
2,bd7bdc49-9833-42ad-98f0-70ece658db7a,37.5
2,a485dd40-bddf-4bd1-b663-b0a3706b2f69,23.5
2,64a014ee-41d4-43b3-8203-2fd1752e0c54,27.0
2,f2758492-3585-4bd1-ad32-8a6e933f1dd2,14.0
3,3d31ec14-08cd-48aa-9037-fa0479a141a7,14.0
3,9447168c-fdac-496a-8f36-4435bba4b4a7,18.0
3,7f8b75ab-0c81-4dfc-9d0c-fe78f760d1e5,18.0
3,c1e7bb28-15a4-481a-932f-22e44932b87a,18.0
3,f7e25628-6e81-4e34-ab01-3fe7c9618689,16.5
3,f9348b5b-2093-4d92-81a2-2ec56863e907,17.0
3,4f83f981-bb3a-4e39-94f9-30291fbd26cc,18.0
3,3de51eb0-2dea-449c-9439-d027051ee74f,17.0
3,1279a502-19e2-4846-b970-9e89f9b4a591,19.0
3,cd47ca1b-f482-45e9-8950-81d5d9175e79,6.5
3,1b5d3de3-8cd4-4d5c-b8c0-4f9dea4a154d,28.0
3,20cc7f14-dc4a-4b09-8960-089ef141b273,33.0
3,bd7bdc49-9833-42ad-98f0-70ece658db7a,37.5
3,a485dd40-bddf-4bd1-b663-b0a3706b2f69,23.5
3,64a014ee-41d4-43b3-8203-2fd1752e0c54,27.0
3,f2758492-3585-4bd1-ad32-8a6e933f1dd2,14.0
4,3d31ec14-08cd-48aa-9037-fa0479a141a7,14.0
4,9447168c-fdac-496a-8f36-4435bba4b4a7,18.0
4,7f8b75ab-0c81-4dfc-9d0c-fe78f760d1e5,18.0
4,c1e7bb28-15a4-481a-932f-22e44932b87a,18.0
4,f7e25628-6e81-4e34-ab01-3fe7c9618689,16.5
4,f9348b5b-2093-4d92-81a2-2ec56863e907,17.0
4,4f83f981-bb3a-4e39-94f9-30291fbd26cc,18.0
4,3de51eb0-2dea-449c-9439-d027051ee74f,17.0
4,1279a502-19e2-4846-b970-9e89f9b4a591,19.0
4,cd47ca1b-f482-45e9-8950-81d5d9175e79,6.5
4,1b5d3de3-8cd4-4d5c-b8c0-4f9dea4a154d,28.0
4,20cc7f14-dc4a-4b09-8960-089ef141b273,33.0
4,bd7bdc49-9833-42ad-98f0-70ece658db7a,37.5
4,a485dd40-bddf-4bd1-b663-b0a3706b2f69,23.5
4,64a014ee-41d4-43b3-8203-2fd1752e0c54,27.0
4,f2758492-3585-4bd1-ad32-8a6e933f1dd2,14.0
5,3d31ec14-08cd-48aa-9037-fa0479a141a7,14.0
5,9447168c-fdac-496a-8f36-4435bba4b4a7,18.0
5,7f8b75ab-0c81-4dfc-9d0c-fe78f760d1e5,18.0
5,c1e7bb28-15a4-481a-932f-22e44932b87a,18.0
5,f7e25628-6e81-4e34-ab01-3fe7c9618689,16.5
5,f9348b5b-2093-4d92-81a2-2ec56863e907,17.0
5,4f83f981-bb3a-4e39-94f9-30291fbd26cc,18.0
5,3de51eb0-2dea-449c-9439-d027051ee74f,17.0
5,1279a502-19e2-4846-b970-9e89f9b4a591,19.0
5,cd47ca1b-f482-45e9-8950-81d5d9175e79,6.5
5,1b5d3de3-8cd4-4d5c-b8c0-4f9dea4a154d,28.0
5,20cc7f14-dc4a-4b09-8960-089ef141b273,33.0
5,bd7bdc49-9833-42ad-98f0-70ece658db7a,37.5
