Step,# citizen coalitions,# citizens in coalition,# regulator coalitions,# regulators in coalition,# stakeholder coalitions,# stakeholders in coalition,Acceptable range,Disruption,Initial number,NGO message,Need,Num Properties,Procedure,Spatial decay rate,Sponsor message,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
0,6,14,0,0,1,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,8,20,0,0,2,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,9,24,0,0,3,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,11,30,0,0,4,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,12,34,0,0,5,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,13,38,0,0,6,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
6,15,44,0,0,7,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
7,16,48,0,0,8,0,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
8,17,51,0,0,10,3,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,646.873574659019,0
9,19,57,0,0,11,3,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,646.873574659019,0
10,21,63,0,0,12,3,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,646.873574659019,0
11,23,69,0,0,13,3,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,646.873574659019,0
12,25,75,0,0,14,3,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,646.873574659019,0
13,26,78,0,0,15,4,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,645.1214830775455,0
14,27,81,0,0,16,5,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,644.1713406044313,0
15,28,84,0,0,17,6,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,643.1642804777729,0
16,29,87,0,0,18,7,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,642.344818795677,0
17,30,90,0,0,19,8,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,640.8128574629586,0
18,31,93,0,0,20,9,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,639.9455281307477,0
19,32,96,0,0,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,71.0,71.0,639.4080011381776,0
20,32,96,1,2,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,70.99999999059087,71.0,639.4080011381776,0
21,32,96,2,4,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,67.39999998661645,71.0,639.4080011381776,0
22,32,96,2,4,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,67.39999998661645,71.0,639.4080011381776,0
23,32,96,2,4,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,67.39999998661645,71.0,639.4080011381776,0
24,32,96,2,4,21,10,700,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,67.39999998661645,71.0,639.4080011381776,0
0,4,10,0,0,1,0,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,6,16,0,0,2,0,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,7,20,0,0,3,0,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,8,24,0,0,4,0,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,9,27,0,0,5,1,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,642.4525770845515,0
5,10,30,0,0,7,4,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,639.0544008992179,0
6,11,33,0,0,8,5,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,633.9916928322922,0
7,12,36,0,0,9,6,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,629.400782582422,0
8,14,42,0,0,10,6,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,629.400782582422,0
9,16,48,0,0,11,6,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,629.400782582422,0
10,18,54,0,0,12,6,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,629.400782582422,0
11,19,57,0,0,13,7,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,626.9012195167934,0
12,20,60,0,0,14,8,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,624.6271256157866,0
13,21,63,0,0,15,9,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,0.0,0.0,623.2228710837226,0
14,22,66,0,0,16,10,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,620.237806574376,0
