Step,# citizen coalitions,# citizens in coalition,# regulator coalitions,# regulators in coalition,# stakeholder coalitions,# stakeholders in coalition,NGO message,Num Properties,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
0,6.0,14.0,0.0,0.0,1.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
1,12.0,28.0,0.0,0.0,2.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
2,16.0,38.0,0.0,0.0,3.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
3,19.0,46.0,0.0,0.0,4.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
4,23.0,56.0,0.0,0.0,5.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
5,26.0,64.0,0.0,0.0,6.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
6,29.0,72.0,0.0,0.0,7.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
7,32.0,80.0,0.0,0.0,8.0,0.0,4.6,300.0,0.0,0.0,0.0,0.0,650.0,0.0
8,34.0,86.0,0.0,0.0,10.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
9,36.0,92.0,0.0,0.0,11.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
10,39.0,100.0,0.0,0.0,12.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
11,40.0,104.0,0.0,0.0,13.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
12,42.0,110.0,0.0,0.0,14.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
13,48.0,124.0,0.0,0.0,15.0,2.0,4.6,300.0,0.0,0.0,0.0,0.0,648.7843132554827,0.0
14,51.0,132.0,0.0,0.0,16.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
15,52.0,136.0,0.0,0.0,17.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
16,53.0,140.0,0.0,0.0,18.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
17,55.0,146.0,0.0,0.0,19.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
18,57.0,152.0,0.0,0.0,20.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
19,59.0,158.0,0.0,0.0,21.0,2.0,4.6,300.0,0.0,0.0,71.0,71.0,648.7843132554827,0.0
20,59.0,158.0,1.0,2.0,21.0,2.0,4.6,300.0,0.0,0.0,70.99999998802144,71.0,648.7843132554827,0.0
21,59.0,158.0,2.0,4.0,21.0,2.0,4.6,300.0,0.0,0.0,67.39999998296172,71.0,648.7843132554827,0.0
22,59.0,158.0,2.0,4.0,21.0,2.0,4.6,300.0,0.0,0.0,67.39999998296172,71.0,648.7843132554827,0.0
23,59.0,158.0,2.0,4.0,21.0,2.0,4.6,300.0,0.0,0.0,67.39999998296172,71.0,648.7843132554827,0.0
24,59.0,158.0,2.0,4.0,21.0,2.0,4.6,300.0,0.0,0.0,67.39999998296172,71.0,648.7843132554827,0.0
