Step,AgentID,Regulator preference,Agent Type
15,317,10.0,Regulator
15,318,1.0,Regulator
15,319,20.0,Regulator
15,320,20.0,Regulator
15,321,20.0,Regulator
16,317,10.0,Regulator
16,318,1.0,Regulator
16,319,20.0,Regulator
16,320,20.0,Regulator
16,321,20.0,Regulator
17,317,10.0,Regulator
17,318,1.0,Regulator
17,319,20.0,Regulator
17,320,20.0,Regulator
17,321,20.0,Regulator
18,317,10.0,Regulator
18,318,1.0,Regulator
18,319,20.0,Regulator
18,320,20.0,Regulator
18,321,20.0,Regulator
19,317,10.0,Regulator
19,318,1.0,Regulator
19,319,20.0,Regulator
19,320,20.0,Regulator
19,321,20.0,Regulator
20,317,10.0,Regulator
20,318,1.0,Regulator
20,319,20.0,Regulator
20,320,20.0,Regulator
20,321,20.0,Regulator
21,317,10.0,Regulator
21,318,1.0,Regulator
21,319,19.999999994010725,Regulator
21,320,19.999999994010725,Regulator
21,321,20.0,Regulator
22,317,13.199999997470131,Regulator
22,318,1.0,Regulator
22,319,19.999999994010725,Regulator
22,320,19.999999994010725,Regulator
22,321,13.199999997470131,Regulator
23,317,13.199999997470131,Regulator
23,318,1.0,Regulator
23,319,19.999999994010725,Regulator
23,320,19.999999994010725,Regulator
23,321,13.199999997470131,Regulator
24,317,13.199999997470131,Regulator
24,318,1.0,Regulator
24,319,19.999999994010725,Regulator
24,320,19.999999994010725,Regulator
24,321,13.199999997470131,Regulator
25,317,13.199999997470131,Regulator
25,318,1.0,Regulator
25,319,19.999999994010725,Regulator
25,320,19.999999994010725,Regulator
25,321,13.199999997470131,Regulator
