Step,AgentID,Stakeholder preference,Agent Type
1,301,28.0,Stakeholder
1,302,36.0,Stakeholder
1,303,36.0,Stakeholder
1,304,36.0,Stakeholder
1,305,33.0,Stakeholder
1,306,34.0,Stakeholder
1,307,36.0,Stakeholder
1,308,34.0,Stakeholder
1,309,38.0,Stakeholder
1,310,13.0,Stakeholder
1,311,56.0,Stakeholder
1,312,66.0,Stakeholder
1,313,75.0,Stakeholder
1,314,47.0,Stakeholder
1,315,54.0,Stakeholder
1,316,28.0,Stakeholder
2,301,28.0,Stakeholder
2,302,36.0,Stakeholder
2,303,36.0,Stakeholder
2,304,36.0,Stakeholder
2,305,33.0,Stakeholder
2,306,34.0,Stakeholder
2,307,36.0,Stakeholder
2,308,34.0,Stakeholder
2,309,38.0,Stakeholder
2,310,13.0,Stakeholder
2,311,56.0,Stakeholder
2,312,66.0,Stakeholder
2,313,75.0,Stakeholder
2,314,47.0,Stakeholder
2,315,54.0,Stakeholder
2,316,28.0,Stakeholder
3,301,28.0,Stakeholder
3,302,36.0,Stakeholder
3,303,36.0,Stakeholder
3,304,36.0,Stakeholder
3,305,33.0,Stakeholder
3,306,34.0,Stakeholder
3,307,36.0,Stakeholder
3,308,34.0,Stakeholder
3,309,38.0,Stakeholder
3,310,13.0,Stakeholder
3,311,56.0,Stakeholder
3,312,66.0,Stakeholder
3,313,75.0,Stakeholder
3,314,47.0,Stakeholder
3,315,54.0,Stakeholder
3,316,28.0,Stakeholder
4,301,28.0,Stakeholder
4,302,36.0,Stakeholder
4,303,36.0,Stakeholder
4,304,36.0,Stakeholder
4,305,33.0,Stakeholder
4,306,34.0,Stakeholder
4,307,36.0,Stakeholder
4,308,34.0,Stakeholder
4,309,38.0,Stakeholder
4,310,13.0,Stakeholder
4,311,56.0,Stakeholder
4,312,66.0,Stakeholder
4,313,75.0,Stakeholder
4,314,47.0,Stakeholder
4,315,54.0,Stakeholder
4,316,28.0,Stakeholder
5,301,28.0,Stakeholder
5,302,36.0,Stakeholder
5,303,36.0,Stakeholder
5,304,36.0,Stakeholder
5,305,33.0,Stakeholder
5,306,34.0,Stakeholder
5,307,36.0,Stakeholder
5,308,34.0,Stakeholder
5,309,38.0,Stakeholder
5,310,13.0,Stakeholder
5,311,56.0,Stakeholder
5,312,66.0,Stakeholder
5,313,75.0,Stakeholder
5,314,47.0,Stakeholder
5,315,54.0,Stakeholder
5,316,28.0,Stakeholder
6,301,28.0,Stakeholder
6,302,36.0,Stakeholder
6,303,36.0,Stakeholder
6,304,36.0,Stakeholder
6,305,33.0,Stakeholder
6,306,34.0,Stakeholder
6,307,36.0,Stakeholder
6,308,34.0,Stakeholder
6,309,38.0,Stakeholder
6,310,13.0,Stakeholder
6,311,56.0,Stakeholder
6,312,66.0,Stakeholder
6,313,75.0,Stakeholder
6,314,47.0,Stakeholder
6,315,54.0,Stakeholder
6,316,28.0,Stakeholder
7,301,28.0,Stakeholder
7,302,36.0,Stakeholder
7,303,36.0,Stakeholder
7,304,36.0,Stakeholder
7,305,33.0,Stakeholder
7,306,34.0,Stakeholder
7,307,36.0,Stakeholder
7,308,34.0,Stakeholder
7,309,38.0,Stakeholder
7,310,13.0,Stakeholder
7,311,56.0,Stakeholder
7,312,66.0,Stakeholder
7,313,75.0,Stakeholder
7,314,47.0,Stakeholder
7,315,54.0,Stakeholder
7,316,28.0,Stakeholder
8,301,28.0,Stakeholder
8,302,36.0,Stakeholder
8,303,36.0,Stakeholder
8,304,36.0,Stakeholder
8,305,33.0,Stakeholder
8,306,34.0,Stakeholder
8,307,36.0,Stakeholder
8,308,34.0,Stakeholder
8,309,38.0,Stakeholder
8,310,13.0,Stakeholder
8,311,56.0,Stakeholder
8,312,66.0,Stakeholder
8,313,75.0,Stakeholder
8,314,47.0,Stakeholder
8,315,54.0,Stakeholder
8,316,28.0,Stakeholder
9,301,28.0,Stakeholder
9,302,36.0,Stakeholder
9,303,36.0,Stakeholder
9,304,36.0,Stakeholder
9,305,33.0,Stakeholder
9,306,34.0,Stakeholder
9,307,36.0,Stakeholder
9,308,34.0,Stakeholder
9,309,38.0,Stakeholder
9,310,43.392156627741386,Stakeholder
9,311,56.0,Stakeholder
9,312,66.0,Stakeholder
9,313,43.392156627741386,Stakeholder
9,314,47.0,Stakeholder
9,315,54.0,Stakeholder
9,316,28.0,Stakeholder
10,301,28.0,Stakeholder
10,302,36.0,Stakeholder
10,303,36.0,Stakeholder
10,304,36.0,Stakeholder
10,305,33.0,Stakeholder
10,306,34.0,Stakeholder
10,307,36.0,Stakeholder
10,308,34.0,Stakeholder
10,309,38.0,Stakeholder
10,310,43.392156627741386,Stakeholder
10,311,56.0,Stakeholder
10,312,66.0,Stakeholder
10,313,43.392156627741386,Stakeholder
10,314,47.0,Stakeholder
10,315,54.0,Stakeholder
10,316,28.0,Stakeholder
11,301,28.0,Stakeholder
11,302,36.0,Stakeholder
11,303,36.0,Stakeholder
11,304,36.0,Stakeholder
11,305,33.0,Stakeholder
11,306,34.0,Stakeholder
11,307,36.0,Stakeholder
11,308,34.0,Stakeholder
11,309,38.0,Stakeholder
11,310,43.392156627741386,Stakeholder
