Step,# citizen coalition,# regulator coalition,# stakeholder coalition,Disruption,NGO Message,Num Properties,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
0,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,90.48115959030231,105.14815011495794,0.0,0.0,0.0,9084.745809443482
1,1.0,0.0,2.0,0.5,4.5,149.0,2000.0,90.66944331728031,113.93682609784389,0.0,0.0,648.7843128562427,9150.098600820369
2,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,90.86927449313798,123.44604106211656,0.0,0.0,637.8980297959306,9219.557542513629
3,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.07475150900846,133.17150506549964,0.0,0.0,631.5477846872972,9291.44047661176
4,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.28796838541113,143.3064879264908,0.0,0.0,624.7526821296758,9365.931758566858
5,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.5054910288866,154.37553227509196,0.0,0.0,618.0949259489042,9441.956584668824
6,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.72587165969776,165.81924778593302,0.0,0.0,611.9184798982753,9518.78320146142
7,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.94945594151886,178.05056240317379,0.0,0.0,605.7095518774624,9597.009919638735
8,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.17765157713924,190.2841000099761,0.0,0.0,600.1984178953385,9676.246320096794
9,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.40954932080709,203.48458131924727,0.0,0.0,594.295671380631,9756.978775058475
10,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.64477094632808,217.12255103413932,0.0,0.0,588.7830217658553,9838.043789374504
11,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.88175094793117,231.79313054693498,0.0,0.0,583.3907274659464,9920.389449971904
12,1.0,0.0,2.0,0.5,4.5,149.0,2000.0,93.11985310407096,247.11232035733332,0.0,0.0,581.3575652237904,10003.078769791702
13,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,93.3656074524198,263.1903823320773,0.0,0.0,581.3575652237904,10088.269820222198
14,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,93.61296738348744,280.04324962622303,0.0,0.0,581.3575652237904,10174.758619423179
15,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,93.86613346235887,297.93573268881624,71.0,71.0,581.3575652237904,10262.655667944759
16,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,94.11911919496546,316.4013579450074,71.0,71.0,581.3575652237904,10351.107152194932
17,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,94.37594229531814,336.2193769426815,71.0,71.0,581.3575652237904,10440.291043879128
18,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,94.63298331407415,356.49672915022416,71.0,71.0,581.3575652237904,10530.242565839957
19,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,94.8931528395631,378.59847442475456,71.0,71.0,581.3575652237904,10620.63665184552
20,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,401.67258220562775,71.0,71.0,581.3575652237904,10711.357642933119
21,1.0,1.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,425.3577388991598,70.99999997583606,71.0,581.3575652237904,10711.357642933119
22,1.0,1.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,449.77032264746543,67.3999999656292,71.0,581.3575652237904,10711.357642933119
23,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,475.6063953242618,67.3999999656292,71.0,581.3575652237904,10711.357642933119
24,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,503.54536462457423,67.3999999656292,71.0,581.3575652237904,10711.357642933119
25,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,531.2546838709105,67.3999999656292,71.0,581.3575652237904,10711.357642933119
0,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,90.48115959030231,105.14815011495794,0.0,0.0,0.0,9084.745809443482
1,1.0,0.0,2.0,0.5,4.5,149.0,2000.0,90.66944331728031,113.93910466061806,0.0,0.0,648.7843128562427,9150.098600820369
2,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,90.86927449313798,123.35015180539256,0.0,0.0,637.8980297959306,9219.557542513629
3,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.07475150900846,133.27655093506334,0.0,0.0,631.5477846872972,9291.44047661176
4,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.28796838541113,143.67506298578763,0.0,0.0,624.7526821296758,9365.931758566858
5,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.5054910288866,154.38994183638425,0.0,0.0,618.0949259489042,9441.956584668824
6,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.72587165969776,165.7659432911506,0.0,0.0,611.9184798982753,9518.78320146142
7,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,91.94945594151886,177.62313153021103,0.0,0.0,605.7095518774624,9597.009919638735
8,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.17765157713924,190.1341403095125,0.0,0.0,600.1984178953385,9676.246320096794
9,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.40954932080709,203.34076783109515,0.0,0.0,594.295671380631,9756.978775058475
10,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.64477094632808,217.45714224770458,0.0,0.0,588.7830217658553,9838.043789374504
11,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,92.88175094793117,232.2565030357521,0.0,0.0,583.3907274659464,9920.389449971904
12,1.0,0.0,2.0,0.5,4.5,149.0,2000.0,93.11985310407096,247.78697205688272,0.0,0.0,581.3575652237904,10003.078769791702
13,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,93.3656074524198,263.8627720028663,0.0,0.0,581.3575652237904,10088.269820222198
14,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,93.61296738348744,280.3851887061571,0.0,0.0,581.3575652237904,10174.758619423179
15,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,93.86613346235887,297.9104670936987,71.0,71.0,581.3575652237904,10262.655667944759
16,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,94.11911919496546,317.448955932456,71.0,71.0,581.3575652237904,10351.107152194932
17,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,94.37594229531814,337.16274028640885,71.0,71.0,581.3575652237904,10440.291043879128
18,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,94.63298331407415,358.0631280560784,71.0,71.0,581.3575652237904,10530.242565839957
19,1.0,0.0,0.0,0.5,4.5,149.0,2000.0,94.8931528395631,380.8333828517504,71.0,71.0,581.3575652237904,10620.63665184552
20,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,403.00923912423053,71.0,71.0,581.3575652237904,10711.357642933119
21,1.0,1.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,428.2626673372065,70.99999997583606,71.0,581.3575652237904,10711.357642933119
22,1.0,1.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,453.75103355145194,67.3999999656292,71.0,581.3575652237904,10711.357642933119
23,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,480.78942427209387,67.3999999656292,71.0,581.3575652237904,10711.357642933119
24,1.0,0.0,1.0,0.5,4.5,149.0,2000.0,95.15378575476026,507.5626991948147,67.3999999656292,71.0,581.3575652237904,10711.357642933119
