id,LAND USE,zip,population,power,ideology,lat,lon,,ideology,ideology
1,SFR,97217-8039,1,0.234359971,2,45.60270405,-122.6726008,,2,200
3,SFR,97217-8039,1,0.274396842,1,45.60273615,-122.6727897,,1,100
6,SFR,97217-8039,1,0.230352276,0,45.60276825,-122.6729785,,0,0
9,SFR,97217-8041,1,0.229831276,2,45.60280027,-122.6731713,,2,200
11,SFR,97217-8041,1,0.271240782,2,45.60283237,-122.6733601,,2,200
148,SFR,97211-1249,1,0.398324784,2,45.59429679,-122.6561659,,2,200
419,SFR,97211-1231,1,0.419084643,1,45.59438792,-122.6564273,,1,100
421,MFR,97217-8190,95.373,0.180079398,1,45.60309414,-122.675043,,1,100
424,SFR,97211-1231,1,0.400158304,0,45.59447897,-122.6566926,,0,0
428,SFR,97211-1231,1,0.393565646,2,45.59457009,-122.656954,,2,200
431,SFR,97211-1241,1,0.489038955,0,45.59466678,-122.6572117,,0,0
434,SFR,97211-1241,1,0.410518195,0,45.59477175,-122.6574658,,0,0
437,SFR,97211-1241,1,0.403574864,0,45.59486836,-122.6577274,,0,0
440,SFR,97211-1239,1,0.397483168,1,45.59495948,-122.6579888,,1,100
829,SFR,97211-1239,1,0.377584963,1,45.59505061,-122.6582502,,1,100
832,SFR,97211-1239,1,0.376603078,1,45.59514166,-122.6585155,,1,100
833,MFR,97217-7585,2.272,0.157682751,2,45.60399244,-122.6742567,,2,200
835,SFR,97211-1239,1,0.388014989,1,45.59523292,-122.6587691,,1,100
836,MFR,97217-7585,2.26,0.157312039,0,45.60395384,-122.6742669,,0,0
838,MFR,97217-7585,2.26,0.158237149,1,45.60391249,-122.6742771,,1,100
839,SFR,97211-1244,1,0.43290117,1,45.59495529,-122.6595285,,1,100
841,MFR,97217-7585,2.26,0.156026237,0,45.60387107,-122.6742911,,0,0
842,MFR,97217-7585,2.056,0.147509886,2,45.60382973,-122.6743012,,2,200
843,MFR,97217-7585,2.056,0.147509886,2,45.60379112,-122.6743115,,2,200
844,MFR,97217-7585,2.056,0.147509886,1,45.6037497,-122.6743255,,1,100
845,MFR,97217-7585,2.066,0.149256573,1,45.60373273,-122.6742076,,1,100
846,MFR,97217-7585,2.062,0.145556134,1,45.60377415,-122.6741936,,1,100
847,MFR,97217-7585,2.052,0.147499866,2,45.60381275,-122.6741833,,2,200
848,MFR,97217-7585,2.052,0.147499866,0,45.6038541,-122.6741732,,0,0
849,MFR,97217-7585,2.052,0.147396334,0,45.60389552,-122.6741591,,0,0
850,MFR,97217-7585,2.052,0.147499866,1,45.60393412,-122.6741489,,1,100
851,MFR,97217-7585,2.062,0.14798413,2,45.60397547,-122.6741388,,2,200
853,MFR,97217-8400,2.004,0.155207999,0,45.60445236,-122.676342,,0,0
854,MFR,97217-8400,2.004,0.155207999,1,45.60443457,-122.6762671,,1,100
855,MFR,97217-8400,2.004,0.155207999,1,45.60441397,-122.6761959,,1,100
856,MFR,97217-8400,2.004,0.155207999,2,45.60439062,-122.6761247,,2,200
857,MFR,97217-8400,2.004,0.155207999,2,45.60437002,-122.6760535,,2,200
858,MFR,97217-8400,2.004,0.162969568,0,45.60434949,-122.6759785,,0,0
859,MFR,97217-7583,2.088,0.1583507,2,45.60432607,-122.6759111,,2,200
860,MFR,97217-7583,2.004,0.155207999,0,45.60430554,-122.6758361,,0,0
861,MFR,97217-7583,2.004,0.139688201,0,45.60428494,-122.6757649,,0,0
862,MFR,97217-7583,2.004,0.155207999,2,45.60426715,-122.67569,,2,200
863,MFR,97217-7583,2.204,0.162271561,2,45.6042521,-122.6756151,,2,200
864,MFR,97217-7583,2.004,0.155207999,1,45.60423157,-122.6755401,,1,100
865,MFR,97217-7583,2.004,0.155207999,1,45.60420815,-122.6754727,,1,100
866,MFR,97217-7591,2.004,0.155207999,0,45.60418762,-122.6753977,,0,0
867,MFR,97217-7591,2.088,0.1583507,1,45.60416702,-122.6753265,,1,100
868,MFR,97217-7591,2.204,0.16228826,0,45.60414916,-122.6752555,,0,0
869,MFR,97217-8400,2.642,0.234553676,0,45.60452438,-122.6763057,,0,0
870,MFR,97217-8400,2.787,0.21388733,2,45.60450377,-122.6762346,,2,200
871,MFR,97217-8400,2.667,0.188251443,2,45.60448599,-122.6761596,,2,200
872,MFR,97217-8400,2.642,0.189086379,1,45.60445983,-122.6760922,,1,100
873,MFR,97217-8400,2.667,0.188251443,2,45.6044393,-122.6760171,,2,200
874,MFR,97217-8400,2.787,0.19524821,1,45.60442143,-122.6759461,,1,100
875,MFR,97217-7583,2.687,0.188989527,0,45.60439535,-122.6758747,,0,0
876,MFR,97217-7583,2.642,0.187329673,1,45.60437482,-122.6757996,,1,100
877,MFR,97217-7583,2.624,0.191464278,1,45.60435696,-122.6757286,,1,100
878,MFR,97217-7583,2.666,0.217387384,1,45.60433643,-122.6756536,,1,100
879,MFR,97217-7583,2.642,0.187329673,0,45.60432138,-122.6755787,,0,0
880,MFR,97217-7583,2.642,0.187329673,0,45.60430078,-122.6755076,,0,0
881,MFR,97217-7591,2.597,0.185883563,0,45.60427743,-122.6754363,,0,0
882,MFR,97217-7591,2.639,0.188822539,1,45.6042569,-122.6753613,,1,100
883,MFR,97217-7591,2.78,0.192272497,2,45.60423904,-122.6752902,,2,200
884,MFR,97217-7591,2.681,0.190509111,0,45.60421843,-122.6752191,,0,0
886,MFR,97217-7502,55.366,0.261728769,1,45.60351516,-122.6775881,,1,100
887,MFR,97217-7516,55.366,0.138520602,1,45.60392474,-122.6784168,,1,100
892,MFR,97217-7572,342.625,0.077238356,0,45.60442374,-122.6774197,,0,0
896,MFR,97217-8101,55.366,0.130424343,0,45.60348319,-122.6785523,,0,0
932,SFR,97211-1154,1,0.854440526,1,45.59840842,-122.661192,,1,100
933,SFR,97211-1154,1,0.266341375,2,45.59841639,-122.6617903,,2,200
934,SFR,97211-1136,1,0.486974992,2,45.59860901,-122.661614,,2,200
936,SFR,97211-1154,1,0.296549375,2,45.59867447,-122.6622183,,2,200
939,SFR,97211-1153,1,0.543623758,1,45.5980967,-122.6628881,,1,100
940,SFR,97211-1155,1,0.33942169,1,45.59822771,-122.6624866,,1,100
941,SFR,97211-1155,1,0.611704473,1,45.59791345,-122.6624199,,1,100
942,SFR,97211-1155,1,0.388706316,2,45.59777906,-122.6621256,,2,200
943,SFR,97211-1155,1,0.320194774,0,45.59773281,-122.6616665,,0,0
946,SFR,97211-1126,1,0.303292321,1,45.59719619,-122.661607,,1,100
996,SFR,97211-1118,1,0.239870551,2,45.59474249,-122.6626781,,2,200
997,SFR,97211-1118,1,0.291419525,2,45.59451645,-122.6628805,,2,200
998,SFR,97211-1255,1,0.361704473,2,45.59445111,-122.6621237,,2,200
1003,SFR,97211-1118,1,0.25328631,1,45.59421825,-122.663127,,1,100
1004,SFR,97211-1118,1,0.232356124,1,45.59404533,-122.6632767,,1,100
1005,SFR,97211-1222,1,0.282362135,1,45.59376693,-122.6636374,,1,100
1018,SFR,97211-1269,1,0.2061458,0,45.59245146,-122.6669128,,0,0
1019,SFR,97211-1269,1,0.208530378,0,45.59231296,-122.6668372,,0,0
1020,SFR,97211-1269,1,0.188010981,1,45.59218802,-122.6667699,,1,100
1021,SFR,97211-1269,1,0.201226355,2,45.59206857,-122.6667028,,2,200
1022,SFR,97211-1269,1,0.205103799,0,45.59193822,-122.6666314,,0,0
1023,SFR,97211-1269,1,0.202639067,2,45.59180239,-122.6665597,,2,200
1024,SFR,97211-1269,1,0.193681869,0,45.59167204,-122.6664883,,0,0
1025,SFR,97211-1269,1,0.176428743,0,45.59152539,-122.6664085,,0,0
1026,SFR,97211-1269,1,0.325074142,2,45.59132961,-122.666315,,2,200
1027,SFR,97211-1267,1,0.219521481,1,45.59117657,-122.6661372,,1,100
1028,SFR,97211-1267,1,0.195174735,0,45.59134017,-122.6660458,,0,0
1029,SFR,97211-1270,1,0.252685155,1,45.59157409,-122.6660078,,1,100
1030,SFR,97211-1275,1,0.199723469,0,45.59169477,-122.6658639,,0,0
1031,SFR,97211-1270,1,0.191858368,0,45.5917249,-122.6661582,,0,0
1032,SFR,97211-1270,1,0.194533504,2,45.59185806,-122.6662258,,2,200
1033,SFR,97211-1270,1,0.199422892,2,45.59198856,-122.6662894,,2,200
1034,SFR,97211-1270,1,0.189553944,2,45.59211624,-122.6663568,,2,200
1035,SFR,97211-1270,1,0.19064604,0,45.59224666,-122.6664243,,0,0
1036,SFR,97211-1270,1,0.187720423,2,45.59238523,-122.666496,,2,200
1037,SFR,97211-1269,1,0.199953912,0,45.59259724,-122.6666018,,0,0
1038,SFR,97211-1269,1,0.220503366,2,45.59265316,-122.6664008,,2,200
1040,SFR,97211-1270,1,0.206175858,1,45.59250277,-122.6660824,,1,100
