Step,AgentID,Regulator preference,Agent Type
15,166,10.0,Regulator
15,167,1.0,Regulator
15,168,20.0,Regulator
15,169,20.0,Regulator
15,170,20.0,Regulator
16,166,10.0,Regulator
16,167,1.0,Regulator
16,168,20.0,Regulator
16,169,20.0,Regulator
16,170,20.0,Regulator
17,166,10.0,Regulator
17,167,1.0,Regulator
17,168,20.0,Regulator
17,169,20.0,Regulator
17,170,20.0,Regulator
18,166,10.0,Regulator
18,167,1.0,Regulator
18,168,20.0,Regulator
18,169,20.0,Regulator
18,170,20.0,Regulator
19,166,10.0,Regulator
19,167,1.0,Regulator
19,168,20.0,Regulator
19,169,20.0,Regulator
19,170,20.0,Regulator
20,166,10.0,Regulator
20,167,1.0,Regulator
20,168,20.0,Regulator
20,169,20.0,Regulator
20,170,20.0,Regulator
21,166,10.0,Regulator
21,167,1.0,Regulator
21,168,19.999999987735276,Regulator
21,169,19.999999987735276,Regulator
21,170,20.0,Regulator
22,166,13.19999999481938,Regulator
22,167,1.0,Regulator
22,168,19.999999987735276,Regulator
22,169,19.999999987735276,Regulator
22,170,13.19999999481938,Regulator
23,166,13.19999999481938,Regulator
23,167,1.0,Regulator
23,168,19.999999987735276,Regulator
23,169,19.999999987735276,Regulator
23,170,13.19999999481938,Regulator
24,166,13.19999999481938,Regulator
24,167,1.0,Regulator
24,168,19.999999987735276,Regulator
24,169,19.999999987735276,Regulator
24,170,13.19999999481938,Regulator
25,166,13.19999999481938,Regulator
25,167,1.0,Regulator
25,168,19.999999987735276,Regulator
25,169,19.999999987735276,Regulator
25,170,13.19999999481938,Regulator
